Phase,Number,Name,Program,Project Manager,Portfolio Category,YTD Actuals,LTD Actuals,EAC (Current),Annual (Current),EAC (Performance/Reference),Annual (Performance/Reference),EAC Variance,Budget Variance
PLANNING,1136933,RSD CUTRL RES DBASE RPLCMNT,RSD CWP OBSOLETE IT SYS RPLMNT,"Crippen, Mike",Administrative,"$26,755.00","$62,733.96","$58,683.96","$22,705.00",,,,
PLANNING,1137364,RSD WSDE HWY SW DEGRADATN,RSD CWP QUICK RESPONSE,"Posey, Norton",Roadside,$0.00,"$32,781.29","$32,781.29",,,,,
HOLD,1137577,RSD 304 ST HAUL RD MITGN,RSD CWP QUICK RESPONSE,"Daggs, Victor",Roadside,"$117,163.47","$117,163.47","$155,000.00","$155,000.00","$155,000.00","$155,000.00",,
IMPLEMENT,1137584,RSD MIDDLE FORK RD RPR,RSD CWP QUICK RESPONSE,"Cassidy, Jon",Roadside,$0.00,"$41,832.96","$41,832.96",,,,,
IMPLEMENT,1137752,RSD FLMNG GYSR BRG 3024 PNTG,RSD CWP BRIDGE PRIORITY MAINT,"Martin, TingTing",Bridges & Structures,$280.74,"$800,179.14","$800,179.14",$280.74,"$807,898.40","$8,000.00","-$7,719.26",
CLOSEOUT,1137860,RSD 2019 DVD PWLL RD RPR 36621,RSD CWP QUICK RESPONSE,"Lyou, John",Roadside,$0.00,"$42,018.75","$42,018.75",,,,,
IMPLEMENT,1137862,RSD 2020 HGH FRCTN SFC TRTMT,RSD CWP HIGH COLLISION SAFETY,"Linders, Jon",Traffic Control,"$24,703.69","$176,421.37","$3,191,193.64","$3,014,475.80","$3,189,717.84","$3,013,000.00","$1,475.80",1.61%
IMPLEMENT,1137996,RSD 2020 CNTYWDE PAVE PRES,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,"$3,743.82","$4,788,707.53","$4,788,707.53","$3,743.82","$4,804,963.71","$20,000.00","-$16,256.18",8.11%
DESIGN,1138330,RSD CVGTN SWYR SGHTLN IMPR,RSD CWP HIGH COLLISION SAFETY,"Wang, Jun",Traffic Control,$123.43,$123.43,"$923,806.69","$7,514.10","$690,389.01","$20,000.00","$233,417.67",
HOLD,1138337,RSD FC FSH HTCHRY BRG 61B RPR,RSD CWP FLOOD CONTROL DISTRICT,"Roark, Ben",Drainage,"$148,656.44","$192,589.92","$83,614.88","$39,681.40","$123,933.48","$80,000.00","-$40,318.60",
DESIGN,1138339,RSD FC S 106 ST DRAINAGE IMPRV,RSD CWP FLOOD CONTROL DISTRICT,"Quach, Dieu",Drainage,$0.00,$0.00,"$441,000.62","$40,000.00","$446,000.62","$45,000.00","-$5,000.00",
IMPLEMENT,1138763,RSD 2019-20 GUARDRAL PRSRVTN 2,RSD CWP GUARDRAIL PRESERVATION,"Mott, Linda",Roadside,"$22,129.68","$441,415.14","$441,918.61","$22,633.15","$449,285.46","$30,000.00","-$7,366.85",
PREDESIGN,1138913,RSD BOISE X BRDG #3055A REPL,,"Jin, Henry",Bridges & Structures,"$230,922.70","$453,187.49","$2,661,819.70","$361,530.00","$2,725,290.04","$425,000.34","-$63,470.34",
DESIGN,1138914,RSD FIFTN MILE CRK#493C B REP,,"Jose, Jessy",Bridges & Structures,"$818,076.16","$864,221.87","$6,152,242.42","$908,741.08","$4,392,787.53","$761,000.00","$1,759,454.89",0.00%
PREDESIGN,1138918,RSD 16TH AVE PED IMPRVMNTS,,"Mott, Linda",Roadside,"$107,720.84","$204,243.33","$1,118,138.99","$101,483.07","$1,006,964.09","$98,391.00","$111,174.90",
PREDESIGN,1138947,RSD 284TH AVE S 46913 CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Dulan, Lica",Drainage,"$7,087.37","$7,087.37","$989,404.72","$26,354.75","$840,000.50","$12,000.00","$149,404.23",
PLANNING,1139144,RSD SE REINIG RD DRNG IMPR CUL,,,Drainage,$0.00,$0.00,,,,,,
PREDESIGN,1139145,RSD SE GRN VLLY & 218 AVE INT,,"Linders, Jon",Traffic Control,$0.00,$0.00,"$674,999.73",,"$674,999.73",,,
PLANNING,1139146,RSD RAINIER S & LKRDG DR INT,,"Zhen, Haiyan",Roadway,"$22,265.68","$22,265.68","$1,447,245.10","$100,045.77","$1,477,199.33","$130,000.00","-$29,954.23",
IMPLEMENT,1139147,RSD CWP ADA PROGRAM,RSD CWP ADA PROGRAM,"Vander Sluis, John",Roadway,$0.00,$0.00,"$1,299,032.16","$150,000.00","$1,299,032.16","$150,000.00",,
CLOSEOUT,1139236,RSD JUDD CK BRG 3184 RECONT,RSD CWP BRIDGE PRIORITY MAINT,"Jose, Jessy",Bridges & Structures,"$168,823.10","$173,863.80","$173,863.80","$168,823.10","$219,040.70","$214,000.00","-$45,176.90",
PREDESIGN,1139286,RSD CWP BRIDGE LOAD UPGRD SFTY,RSD CWP BRIDGE LOAD UPGRD SFTY,"Jiang, Stephen",Bridges & Structures,"$139,306.44","$139,306.44","$97,180.87","$97,180.87","$405,004.00","$405,004.00","-$307,823.13",
PREDESIGN,1139716,RSD S LANGSTN RD@125TH DRG IM,RSD CWP DRAINAGE PRESERVATION,"Mitchell, Mark C.",Drainage,"$44,399.86","$52,775.27","$163,887.56","$155,512.15","$173,375.41","$165,000.00","-$9,487.85",
IMPLEMENT,1139744,RSD 4-CREEK-RANCH 5044 DECK,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,"$128,784.17","$142,520.21","$132,457.86","$118,721.82","$208,736.04","$195,000.00","-$76,278.18",
NOT SET,1139749,RSD MMS REPLACEMENT,,"Murata, Kathi",Administrative,"$64,834.00","$64,834.00","$14,938.00","$14,938.00",,,,
NOT SET,1139810,RSD BEALL RD SW RESTOR CULVERT,,,Drainage,$0.00,$0.00,,,,,,
PLANNING,1139811,RSD SE384TH DRNG IMPRV CULVERT,,"Lyou, John",Drainage,"$14,218.77","$14,218.77","$1,306,999.33","$100,000.00",,,,
IMPLEMENT,1139815,RSD 356TH DR SE WINTER 2020,RSD CWP QUICK RESPONSE,"Truong, Trinh",Roadside,"$242,495.10","$2,978,501.04","$3,004,655.31","$268,649.37","$2,996,005.94","$260,000.00","$8,649.37",
PREDESIGN,1140858,RSD 244TH AVE NE WINTER 2020,RSD CWP QUICK RESPONSE,"Wang, Jun",Roadside,"$44,084.34","$44,084.34","$282,762.48","$209,131.90","$318,630.58","$245,000.00","-$35,868.10",
PREDESIGN,1140905,RSD 17401 SE 240 ST SE CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Dulan, Lica",Drainage,$258.04,$258.04,"$3,212,523.73","$70,000.00","$3,222,523.73","$80,000.00","-$10,000.00",
PLANNING,1140906,RSD 156TH SE- SE 240TH CULVERT,RSD CWP CLVRT RPLCMT FISH PASS,"Dulan, Lica",Drainage,"$9,314.58","$9,314.58","$2,919,314.91","$9,314.58","$2,920,000.33","$10,000.00",-$685.42,
PLANNING,1141001,RSD NETOLT RD RP WINTER2020,RSD CWP QUICK RESPONSE,"Martin, TingTing",Roadside,"$75,688.63","$75,688.63","$499,245.02","$151,105.03","$518,139.99","$170,000.00","-$18,894.97",
IMPLEMENT,1141044,RSD 2021 CNTYWDE PAVE PRES,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,"$2,071,375.46","$2,071,375.46","$2,536,618.16","$1,764,118.18","$2,522,499.98","$1,750,000.00","$14,118.18",0.00%
DESIGN,1141111,RSD 2019-20 GUARDRAL PRSRVTN 3,RSD CWP GUARDRAIL PRESERVATION,"Mott, Linda",Roadside,$0.00,$0.00,"$1,750,000.52",,"$937,837.86","$75,000.00","$812,162.67",
IMPLEMENT,1141250,RSD 21-22 SCHOOL ZONE SAFETY,RSD CWP SCHOOL ZONE SAFETY,"Hafele, Brendan",Traffic Control,"$72,899.20","$72,899.20","$110,075.11","$110,075.11","$57,500.00","$57,500.00","$52,575.11",
DESIGN,1141401,RSD ROADWAY LIGHTING 2,RSD CWP TRAFFIC SAFETY,"Mott, Linda",Traffic Control,"$38,481.95","$38,481.95","$266,465.16","$75,807.58","$130,003.00","$130,003.00","$136,462.16",
NOT SET,1141464,RSD BRG LD UP SFTY FSBLTY STDY,RSD CWP BRIDGE LOAD UPGRD SFTY,"Jiang, Stephen",Bridges & Structures,"$139,306.44","$139,306.44","$97,180.87","$97,180.87","$113,000.00","$113,000.00","-$15,819.13",
NOT SET,1141505,RSD 21 BPM RAGNGRVBR1008G RAIL,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,"$23,090.31","$23,090.31","$23,090.31","$23,090.31",,,,
NOT SET,1141507,RSD 21 BPM WHITNEYBR2025 OVRLY,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,$0.00,$0.00,,,,,,
NOT SET,1141509,RSD 21 BPM CEDAR RIVER BRIDGES,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,"$25,839.07","$25,839.07",,,,,,
IMPLEMENT,1141580,RSD 21 HRP AMES LK CARNATION F,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,"$545,296.50","$545,296.50","$199,621.05","$199,621.05",,,,
IMPLEMENT,1141581,RSD 21 HRP ALPENTAL ACCESS RD,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,"$146,662.62","$146,662.62",$83.25,$83.25,,,,
DESIGN,1141625,RSD SE KENT-KANGLEY @LANDSBURG,RSD CWP HIGH COLLISION SAFETY,"Linders, Jon",Traffic Control,$639.36,$639.36,"$495,532.69","$10,532.08","$495,000.61","$10,000.00",$532.08,0.00%
NOT SET,1142030,RSD CW ADA RAMPS,,,Roadside,$0.00,$0.00,,,,,,
PLANNING,1142035,RSD ECE CW UKC ADA RAMPS,,"McManus, Aileen",Roadside,$0.00,$0.00,"$1,499,999.88",,,,,
NOT SET,1142289,RSD 2021 HRP SE 368TH  & 236TH,RSD CWP ROADWAY PRESERVATION,"Mott, Linda",Roadway,$0.00,$0.00,,,,,,
NOT SET,1142293,RSD 21 BPM ISQH CRK BR 83D RPR,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,"$20,290.36","$20,290.36",,,,,,
NOT SET,1142294,RSD 21 BPM BOISE CR B 3052 RPR,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,"$13,350.43","$13,350.43",,,,,,
NOT SET,1142384,RSD 21 BPM BR 122L:122K JOINTS,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,"$41,578.97","$41,578.97",,,,,,
NOT SET,1142385,RSD 21 BPM BR 920A:BR 3109 APP,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,$0.00,$0.00,,,,,,
DESIGN,1142478,RSD 218TH AV SE RECONST DRNAGE,RSD CWP DRAINAGE PRESERVATION,"Linders, Jon",Drainage,$0.00,$0.00,,,,,,
PREDESIGN,1142502,RSD AVONDALE & COTTAGE LK ELEM,RSD CWP TRAFFIC SAFETY,"Hafele, Brendan",Traffic Control,$0.00,$0.00,,,,,,
NOT SET,1142615,RSD SE LAKE FRANCIS ROAD HAUL,RSD CWP QUICK RESPONSE,,Roadside,$0.00,$0.00,,,,,,
NOT SET,1142691,RSD 21 BPM SPB MISC REPAIRS,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,$0.00,$0.00,,,,,,
NOT SET,1142848,RSD 21 BPM GR RVR 3216 DCK RPR,RSD CWP BRIDGE PRIORITY MAINT,,Bridges & Structures,$0.00,$0.00,,,,,,
NOT SET,1142850,RSD 21 FBLP DUVALL SLOUGH #113,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,$0.00,$0.00,,,,,,
NOT SET,1142876,RSD 21 BPM 3035A FLOOR BEAM RR,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,"$1,063.27","$1,063.27",,,,,,
NOT SET,1142993,RSD 2022 CNTYWDE PAVE PRES,RSD CWP ROADWAY PRESERVATION,"Mott, Linda",Roadway,$0.00,$0.00,,,,,,
IMPLEMENT,2020-001,DRN DIV DRN,RSD CWP DRAINAGE PRESERVATION,"Shular, Ryan",Drainage,$0.00,$0.00,,,,,,
IMPLEMENT,2020-002,DRN DIV SHOULDER,RSD CWP DRAINAGE PRESERVATION,"Kosai-Eng, Joann",Drainage,$0.00,$0.00,,,,,,
PLANNING,2020-003,PAV Pres Sub,RSD CWP ROADWAY PRESERVATION,"Moore, Paul",Roadway,$0.00,$0.00,,,,,,
PLANNING,2020-004,BRG BPM list,RSD CWP BRIDGE PRIORITY MAINT,"Roark, Ben",Bridges & Structures,$0.00,$0.00,,,,,,
PLANNING,2020-005,HIGH COLLISION,RSD CWP HIGH COLLISION SAFETY,"Dovey, Dan",Traffic Control,$0.00,$0.00,,,,,,
PLANNING,2020-006,SCHOOL SAFETY,RSD CWP SCHOOL ZONE SAFETY,"McManus, Aileen",Traffic Control,$0.00,$0.00,,,,,,
PLANNING,2020-007,TRAFFIC SAFETY,RSD CWP TRAFFIC SAFETY,"Brown, Keith",Traffic Control,$0.00,$0.00,,,,,,
PLANNING,2021001,RSD AVONDALE RD COTTG LK ELEMT,RSD CWP TRAFFIC SAFETY,"Hafele, Brendan",Traffic Control,$0.00,$0.00,"$10,000.00","$10,000.00","$10,000.00","$10,000.00",,
PLANNING,2021002,RSD 21 HRP PLACEHOLDER,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,$0.00,$0.00,"$998,610.00","$998,610.00","$998,610.00","$998,610.00",,
PLANNING,2021003,RSD 22 HRP PLACEHOLDER,RSD CWP ROADWAY PRESERVATION,"Daggs, Victor",Roadway,$0.00,$0.00,,,,,,
PLANNING,2021004,RSD 218 AVE RECON PLACEHOLDER,RSD CWP DRAINAGE PRESERVATION,"Quach, Dieu",Drainage,$0.00,$0.00,"$514,999.99",,"$514,999.99",,,
DESIGN,2021005,RSD 2022 CNTYWDE PAVE PRES PLACEHOLDER,RSD CWP ROADWAY PRESERVATION,"Mott, Linda",Roadway,$0.00,$0.00,"$2,154,999.93",,,,,
PLANNING,2021006,RSD 21 GUARDRAIL PRES PLACEHOLDER,RSD CWP GUARDRAIL PRESERVATION,"Mott, Linda",Roadside,$0.00,$0.00,"$50,000.00","$50,000.00","$50,000.00","$50,000.00",,
PLANNING,2021007,RSD 22 GUARDRAIL PRES PLACEHOLDER,RSD CWP GUARDRAIL PRESERVATION,"Mott, Linda",Roadside,$0.00,$0.00,,,,,,
PLANNING,2021008,RSD BPM 2021 UNALLOCATED,RSD CWP BRIDGE PRIORITY MAINT,"Mitchell, Patricia",Bridges & Structures,$0.00,$0.00,"$390,000.00","$390,000.00","$540,000.00","$540,000.00","-$150,000.00",
CLOSEOUT,Test-RSD,Test,,"Siemens, Amara",Roadway,$0.00,$0.00,,,,,,
